timestamp,temp,emg_raw,emg_env,emg_state,ax,ay,az,hr
2026-04-05 16:35:06.862580,25.94,42.0,0.0,0.0,16968.0,-656.0,-1852.0,
2026-04-05 16:35:06.875457,25.94,46.0,0.0,0.0,17048.0,-672.0,-1732.0,
2026-04-05 16:35:06.888207,25.94,42.0,0.0,0.0,17076.0,-700.0,-1824.0,
2026-04-05 16:35:06.900974,25.94,43.0,0.0,0.0,16988.0,-660.0,-1840.0,
2026-04-05 16:35:06.913762,25.94,43.0,0.0,0.0,16968.0,-784.0,-1816.0,
2026-04-05 16:35:06.926614,25.94,43.0,0.0,0.0,17052.0,-652.0,-1764.0,
2026-04-05 16:35:06.939372,25.94,42.0,0.0,0.0,17032.0,-724.0,-1584.0,
2026-04-05 16:35:06.952118,25.94,44.0,0.0,0.0,17036.0,-640.0,-1776.0,
2026-04-05 16:35:06.964880,25.94,43.0,0.0,0.0,17056.0,-664.0,-1832.0,
2026-04-05 16:35:06.977711,25.94,48.0,1.0,0.0,17136.0,-756.0,-1744.0,
2026-04-05 16:35:06.990531,25.94,43.0,1.0,0.0,17092.0,-652.0,-1888.0,
2026-04-05 16:35:07.003274,25.94,48.0,1.0,0.0,17108.0,-724.0,-1844.0,
2026-04-05 16:35:07.016041,25.94,44.0,1.0,0.0,17020.0,-612.0,-1764.0,
2026-04-05 16:35:07.028800,25.94,42.0,1.0,0.0,16992.0,-652.0,-1876.0,
2026-04-05 16:35:07.041635,25.94,45.0,1.0,0.0,16972.0,-668.0,-1848.0,
2026-04-05 16:35:07.054440,25.94,44.0,1.0,0.0,17044.0,-628.0,-1848.0,
2026-04-05 16:35:07.067190,25.94,51.0,2.0,0.0,17092.0,-728.0,-1668.0,
2026-04-05 16:35:07.079920,25.94,46.0,2.0,0.0,17008.0,-724.0,-1896.0,
2026-04-05 16:35:07.092664,25.94,43.0,2.0,0.0,17064.0,-688.0,-1824.0,
2026-04-05 16:35:07.105538,25.94,47.0,2.0,0.0,17064.0,-640.0,-1692.0,
2026-04-05 16:35:07.118305,25.94,42.0,2.0,0.0,17008.0,-616.0,-1852.0,
2026-04-05 16:35:07.131112,25.94,49.0,2.0,0.0,17096.0,-668.0,-1808.0,
2026-04-05 16:35:07.143901,25.94,42.0,2.0,0.0,17084.0,-580.0,-1884.0,
2026-04-05 16:35:07.156689,25.94,48.0,3.0,0.0,17052.0,-612.0,-1856.0,
2026-04-05 16:35:07.169534,25.94,56.0,4.0,0.0,17072.0,-660.0,-1852.0,
2026-04-05 16:35:07.182297,25.94,48.0,4.0,0.0,17104.0,-648.0,-1860.0,
2026-04-05 16:35:07.195105,25.94,43.0,3.0,0.0,17028.0,-672.0,-1824.0,
2026-04-05 16:35:07.207885,25.94,51.0,4.0,0.0,16992.0,-660.0,-1736.0,
2026-04-05 16:35:07.220646,25.94,51.0,5.0,0.0,16960.0,-776.0,-1808.0,
2026-04-05 16:35:07.854370,25.94,40.0,5.0,0.0,17012.0,-576.0,-1808.0,
2026-04-05 16:35:08.891282,25.94,43.0,4.0,0.0,17032.0,-592.0,-1864.0,79
2026-04-05 16:35:09.926631,25.94,47.0,4.0,0.0,17096.0,-732.0,-1876.0,80
2026-04-05 16:35:10.963266,25.94,42.0,4.0,0.0,17080.0,-672.0,-1672.0,80
2026-04-05 16:35:11.998603,25.94,50.0,4.0,0.0,17024.0,-760.0,-1840.0,81
2026-04-05 16:35:13.033980,25.94,45.0,3.0,0.0,17056.0,-704.0,-1820.0,81
2026-04-05 16:35:14.070591,25.94,46.0,3.0,0.0,17032.0,-704.0,-1676.0,82
