timestamp,label,temp,emg_raw,emg_env,emg_state,ax,ay,az,hr
2026-04-17 15:15:48.073793,walking,31.44,42.0,15.0,0.0,16496.0,2616.0,-2180.0,90
2026-04-17 15:15:49.107768,walking,31.5,105.0,23.0,1.0,17160.0,3088.0,84.0,90
2026-04-17 15:15:50.145773,walking,31.5,57.0,21.0,1.0,16784.0,2844.0,-1784.0,91
2026-04-17 15:15:51.182444,walking,31.5,39.0,21.0,1.0,18848.0,2688.0,-6700.0,93
2026-04-17 15:15:52.220306,walking,31.5,104.0,26.0,1.0,16948.0,3112.0,-6536.0,94
2026-04-17 15:15:53.255473,walking,31.5,53.0,24.0,1.0,12164.0,340.0,-1516.0,96
2026-04-17 15:15:54.293467,walking,31.5,37.0,19.0,0.0,18472.0,3024.0,-2144.0,96
2026-04-17 15:15:55.330082,walking,31.5,82.0,23.0,1.0,12284.0,4752.0,-4020.0,97
2026-04-17 15:15:56.366674,walking,31.5,39.0,23.0,1.0,11052.0,4424.0,-1980.0,97
2026-04-17 15:15:57.404592,walking,31.5,57.0,15.0,0.0,15884.0,2920.0,-6692.0,96
2026-04-17 15:15:58.441176,walking,31.5,147.0,31.0,1.0,19940.0,960.0,-1232.0,95
2026-04-17 15:15:59.477709,walking,31.44,46.0,29.0,1.0,17116.0,2216.0,1956.0,93
2026-04-17 15:16:00.514416,walking,31.5,37.0,29.0,1.0,15948.0,3280.0,-7932.0,91
2026-04-17 15:16:01.548328,walking,31.5,49.0,27.0,1.0,15468.0,20.0,-560.0,91
2026-04-17 15:16:02.585153,walking,31.5,39.0,31.0,1.0,16560.0,1204.0,-6520.0,91
2026-04-17 15:16:03.623056,walking,31.5,139.0,29.0,1.0,23072.0,1132.0,-2824.0,91
2026-04-17 15:16:04.659601,walking,31.5,62.0,27.0,1.0,15296.0,2932.0,-2828.0,92
2026-04-17 15:16:05.697533,walking,31.5,112.0,33.0,1.0,12384.0,3556.0,-4536.0,92
2026-04-17 15:16:06.735151,walking,31.5,49.0,33.0,1.0,17328.0,1192.0,-2336.0,92
2026-04-17 15:16:07.773030,walking,31.5,133.0,43.0,1.0,17488.0,1132.0,-4664.0,92
2026-04-17 15:16:08.807015,walking,31.5,45.0,30.0,1.0,18404.0,12.0,1208.0,92
2026-04-17 15:16:09.842457,walking,31.5,42.0,33.0,1.0,10880.0,2484.0,1112.0,91
2026-04-17 15:16:10.880317,walking,31.5,98.0,31.0,1.0,13904.0,3704.0,-2680.0,87
2026-04-17 15:16:11.915962,walking,31.5,38.0,33.0,1.0,19420.0,1696.0,3032.0,87
2026-04-17 15:16:12.952613,walking,31.5,97.0,26.0,1.0,16292.0,3292.0,-5176.0,86
2026-04-17 15:16:13.990535,walking,31.5,64.0,23.0,1.0,20588.0,3000.0,-1100.0,85
2026-04-17 15:16:15.025781,walking,31.5,38.0,24.0,1.0,12500.0,3480.0,1956.0,84
2026-04-17 15:16:16.062498,walking,31.5,80.0,21.0,1.0,14256.0,3516.0,-5136.0,84
2026-04-17 15:16:17.100331,walking,31.5,44.0,19.0,0.0,18052.0,1476.0,-2564.0,83
2026-04-17 15:16:18.136933,walking,31.5,184.0,37.0,1.0,19572.0,616.0,-2780.0,84
2026-04-17 15:16:19.172224,walking,31.5,38.0,40.0,1.0,18796.0,-76.0,-2160.0,84
2026-04-17 15:16:20.209052,walking,31.5,124.0,49.0,1.0,13200.0,5684.0,284.0,84
2026-04-17 15:16:21.246788,walking,31.5,129.0,59.0,1.0,13752.0,3296.0,-7388.0,85
2026-04-17 15:16:22.281957,walking,31.5,67.0,57.0,1.0,12304.0,2944.0,928.0,85
2026-04-17 15:16:23.318790,walking,31.5,139.0,48.0,1.0,12700.0,2492.0,-804.0,86
2026-04-17 15:16:24.353962,walking,31.5,40.0,47.0,1.0,17996.0,1776.0,1264.0,86
2026-04-17 15:16:25.390721,walking,31.5,63.0,35.0,1.0,13864.0,3844.0,3060.0,87
2026-04-17 15:16:26.427239,walking,31.5,80.0,25.0,1.0,12892.0,3992.0,-4700.0,88
2026-04-17 15:16:27.465223,walking,31.5,46.0,27.0,1.0,13228.0,4728.0,-5772.0,90
2026-04-17 15:16:28.501807,walking,31.5,58.0,11.0,0.0,17848.0,1896.0,-5840.0,92
2026-04-17 15:16:29.539760,walking,31.5,129.0,21.0,1.0,11136.0,5852.0,-6668.0,92
2026-04-17 15:16:30.576278,walking,31.5,39.0,25.0,1.0,11644.0,3292.0,-5752.0,92
2026-04-17 15:16:31.611515,walking,31.5,40.0,25.0,1.0,26936.0,-2904.0,32.0,92
2026-04-17 15:16:32.646952,walking,31.5,47.0,25.0,1.0,17072.0,476.0,-1400.0,93
2026-04-17 15:16:33.683559,walking,31.5,52.0,26.0,1.0,22880.0,5196.0,-456.0,93
2026-04-17 15:16:34.721557,walking,31.5,140.0,28.0,1.0,12824.0,4680.0,-4852.0,94
2026-04-17 15:16:35.756723,walking,31.5,83.0,28.0,1.0,11644.0,3464.0,892.0,94
2026-04-17 15:16:36.792141,walking,31.5,43.0,28.0,1.0,11960.0,1188.0,2480.0,93
2026-04-17 15:16:37.828835,walking,31.5,72.0,28.0,1.0,17036.0,7060.0,-3228.0,93
2026-04-17 15:16:38.865371,walking,31.5,42.0,30.0,1.0,10752.0,4244.0,3600.0,93
2026-04-17 15:16:39.902059,walking,31.5,98.0,21.0,1.0,11352.0,6504.0,-1724.0,93
2026-04-17 15:16:40.938703,walking,31.5,62.0,17.0,0.0,15480.0,5968.0,-1280.0,93
2026-04-17 15:16:41.976531,walking,31.5,98.0,21.0,1.0,12928.0,1812.0,-5328.0,93
2026-04-17 15:16:43.013172,walking,31.5,44.0,22.0,1.0,13584.0,3780.0,-8436.0,93
2026-04-17 15:16:44.051035,walking,31.44,137.0,34.0,1.0,25080.0,-824.0,-960.0,93
2026-04-17 15:16:45.087648,walking,31.5,51.0,28.0,1.0,19712.0,3328.0,-6744.0,94
2026-04-17 15:16:46.122935,walking,31.5,77.0,31.0,1.0,24912.0,2464.0,1740.0,96
2026-04-17 15:16:47.159543,walking,31.5,81.0,28.0,1.0,14216.0,4880.0,-532.0,97
2026-04-17 15:16:48.196226,walking,31.5,80.0,28.0,1.0,14256.0,7144.0,-1456.0,97
2026-04-17 15:16:49.234156,walking,31.5,130.0,27.0,1.0,16176.0,2192.0,-7292.0,97
2026-04-17 15:16:50.271861,walking,31.5,39.0,29.0,1.0,17128.0,2864.0,-4496.0,97
2026-04-17 15:16:51.307222,walking,31.5,42.0,30.0,1.0,17640.0,980.0,-6164.0,97
2026-04-17 15:16:52.343826,walking,31.5,230.0,59.0,1.0,8460.0,4168.0,-6196.0,96
2026-04-17 15:16:53.379133,walking,31.5,44.0,59.0,1.0,14076.0,968.0,2104.0,94
2026-04-17 15:16:54.414609,walking,31.5,66.0,46.0,1.0,18176.0,1000.0,-912.0,93
2026-04-17 15:16:55.451161,walking,31.5,55.0,43.0,1.0,16764.0,5072.0,-672.0,93
2026-04-17 15:16:56.487850,walking,31.5,80.0,43.0,1.0,14284.0,4376.0,-1088.0,93
2026-04-17 15:16:57.525780,walking,31.5,103.0,18.0,0.0,11772.0,4016.0,-6076.0,92
2026-04-17 15:16:58.563590,walking,31.5,65.0,15.0,0.0,14760.0,1964.0,-3336.0,91
2026-04-17 15:16:59.600188,walking,31.5,40.0,18.0,0.0,11748.0,4248.0,-5392.0,90
2026-04-17 15:17:00.636836,walking,31.5,173.0,40.0,1.0,16820.0,1608.0,2896.0,90
2026-04-17 15:17:01.673453,walking,31.44,46.0,39.0,1.0,17824.0,2776.0,-3200.0,90
2026-04-17 15:17:02.711313,walking,31.5,38.0,34.0,1.0,15972.0,6880.0,-3304.0,89
2026-04-17 15:17:03.747892,walking,31.5,82.0,38.0,1.0,23364.0,2644.0,-2252.0,88
2026-04-17 15:17:04.784454,walking,31.5,43.0,37.0,1.0,12876.0,2300.0,2076.0,88
2026-04-17 15:17:05.823744,walking,31.5,136.0,30.0,1.0,16764.0,6128.0,-10160.0,88
2026-04-17 15:17:06.857617,walking,31.44,46.0,30.0,1.0,16936.0,6744.0,572.0,88
2026-04-17 15:17:07.894303,walking,31.5,42.0,29.0,1.0,11316.0,3688.0,3236.0,89
2026-04-17 15:17:08.932281,walking,31.5,107.0,34.0,1.0,14852.0,7992.0,-9044.0,90
2026-04-17 15:17:09.968813,walking,31.44,40.0,35.0,1.0,14828.0,3224.0,-2272.0,90
2026-04-17 15:17:11.006752,walking,31.44,43.0,23.0,1.0,22180.0,3836.0,-3156.0,90
2026-04-17 15:17:12.043297,walking,31.44,80.0,24.0,1.0,11452.0,5356.0,-3356.0,90
2026-04-17 15:17:13.078627,walking,31.44,43.0,24.0,1.0,11572.0,2032.0,3196.0,90
2026-04-17 15:17:14.116529,walking,31.5,43.0,18.0,0.0,15764.0,2900.0,-8200.0,90
2026-04-17 15:17:15.153151,walking,31.44,181.0,38.0,1.0,29128.0,2052.0,1764.0,90
2026-04-17 15:17:16.189743,walking,31.44,39.0,39.0,1.0,20536.0,4600.0,-5640.0,90
2026-04-17 15:17:17.227649,walking,31.44,93.0,41.0,1.0,15732.0,3812.0,-2104.0,90
2026-04-17 15:17:18.260284,walking,31.44,69.0,40.0,1.0,17632.0,332.0,396.0,90
