timestamp,label,temp,emg_raw,emg_env,emg_state,ax,ay,az,hr
2026-04-17 16:22:30.910508,intense,32.13,101.0,16.0,0.0,14776.0,-780.0,-1428.0,82
2026-04-17 16:22:31.947008,intense,32.13,54.0,14.0,0.0,18228.0,-4548.0,2684.0,82
2026-04-17 16:22:32.984904,intense,32.13,155.0,31.0,1.0,18200.0,-7252.0,3508.0,82
2026-04-17 16:22:34.022727,intense,32.13,57.0,30.0,1.0,10656.0,-2740.0,-808.0,84
2026-04-17 16:22:35.060611,intense,32.13,213.0,59.0,1.0,16064.0,-1928.0,-248.0,88
2026-04-17 16:22:36.097163,intense,32.13,55.0,52.0,1.0,25820.0,-3388.0,3288.0,90
2026-04-17 16:22:37.132373,intense,32.13,76.0,54.0,1.0,6164.0,1560.0,4560.0,93
2026-04-17 16:22:38.168801,intense,32.13,59.0,35.0,1.0,22140.0,-4432.0,3740.0,94
2026-04-17 16:22:39.204129,intense,32.13,73.0,37.0,1.0,12144.0,960.0,-2004.0,95
2026-04-17 16:22:40.238175,intense,32.06,55.0,8.0,0.0,21212.0,420.0,6416.0,96
2026-04-17 16:22:41.276138,intense,32.06,105.0,16.0,0.0,9584.0,-4616.0,2344.0,96
2026-04-17 16:22:42.312750,intense,32.06,137.0,28.0,1.0,22836.0,3020.0,8268.0,96
2026-04-17 16:22:43.348363,intense,32.06,70.0,30.0,1.0,25840.0,-232.0,2916.0,96
2026-04-17 16:22:44.385319,intense,32.06,76.0,30.0,1.0,14288.0,3012.0,-1852.0,96
2026-04-17 16:22:45.423271,intense,32.0,90.0,35.0,1.0,15492.0,-2828.0,5632.0,96
2026-04-17 16:22:46.459914,intense,32.06,49.0,28.0,1.0,24156.0,-2036.0,4560.0,97
2026-04-17 16:22:47.497805,intense,32.0,147.0,30.0,1.0,4452.0,-2296.0,-4936.0,97
2026-04-17 16:22:48.534388,intense,32.0,63.0,29.0,1.0,19208.0,2744.0,11492.0,98
2026-04-17 16:22:49.573524,intense,32.0,56.0,27.0,1.0,16892.0,-6592.0,-2364.0,99
2026-04-17 16:22:50.610086,intense,32.0,118.0,32.0,1.0,15540.0,3500.0,2016.0,102
2026-04-17 16:22:51.646735,intense,32.0,345.0,87.0,1.0,22920.0,1388.0,9488.0,104
2026-04-17 16:22:52.683278,intense,32.0,136.0,85.0,1.0,31084.0,8452.0,9816.0,106
2026-04-17 16:22:53.723880,intense,31.94,387.0,150.0,1.0,23756.0,-4236.0,-2596.0,107
2026-04-17 16:22:54.761576,intense,31.94,201.0,177.0,1.0,12636.0,1360.0,1420.0,108
